ID,Location,Country,Flag,Time,PC_HEALTHXP,PC_GDP,USD_CAP,TOTAL_SPEND
818,NOR,Norway,https://flagicons.lipis.dev/flags/4x3/no.svg,1997,9.633,0.746,213.214,939.24
867,NZL,New Zealand,https://flagicons.lipis.dev/flags/4x3/ne.svg,1997,14.355,1.019,194.962,737.21
909,PRT,Portugal,https://flagicons.lipis.dev/flags/4x3/pt.svg,1997,24.72,1.832,289.154,2923.05
983,SWE,Sweden,https://flagicons.lipis.dev/flags/4x3/se.svg,1997,13.028,0.953,233.056,2061.63
22,AUS,Australia,https://flagicons.lipis.dev/flags/4x3/au.svg,1998,14.084,1.019,261.728,4897.19
66,AUT,Austria,https://flagicons.lipis.dev/flags/4x3/at.svg,1998,11.843,1.087,288.769,2303.45
115,CAN,Canada,https://flagicons.lipis.dev/flags/4x3/ca.svg,1998,15.702,1.347,352.804,10671.58
184,CHE,Switzerland,https://flagicons.lipis.dev/flags/4x3/ch.svg,1998,10.352,0.964,316.86,2252.87
194,CZE,Czech Republic,https://flagicons.lipis.dev/flags/4x3/cz.svg,1998,25.085,1.412,209.924,2161.04
253,DEU,Germany,https://flagicons.lipis.dev/flags/4x3/de.svg,1998,13.956,1.354,345.877,28378.24
275,DNK,Denmark,https://flagicons.lipis.dev/flags/4x3/dk.svg,1998,10.367,0.783,201.887,1070.85
309,ESP,Spain,https://flagicons.lipis.dev/flags/4x3/es.svg,1998,21.66,1.498,284.806,11455.9
350,FIN,Finland,https://flagicons.lipis.dev/flags/4x3/fi.svg,1998,14.646,0.999,235.186,1212.03
408,FRA,France,https://flagicons.lipis.dev/flags/4x3/fr.svg,1998,15.872,1.525,358.556,21580.16
470,GRC,Greece,https://flagicons.lipis.dev/flags/4x3/gr.svg,1998,14.475,1.097,197.608,2118.46
509,IRL,Ireland,https://flagicons.lipis.dev/flags/4x3/ie.svg,1998,13.213,0.745,186.457,692.26
567,ISL,Iceland,https://flagicons.lipis.dev/flags/4x3/ic.svg,1998,14.498,1.232,352.048,96.48
604,ITA,Italy,https://flagicons.lipis.dev/flags/4x3/it.svg,1998,20.643,1.5,373.922,21278.68
625,JPN,Japan,https://flagicons.lipis.dev/flags/4x3/jp.svg,1998,17.942,1.187,297.259,37573.54
670,KOR,South Korea,https://flagicons.lipis.dev/flags/4x3/kr.svg,1998,22.373,0.837,122.339,5662.64
726,LUX,Luxembourg,https://flagicons.lipis.dev/flags/4x3/lu.svg,1998,12.309,0.668,311.45,132.27
759,NLD,Netherlands,https://flagicons.lipis.dev/flags/4x3/nl.svg,1998,11.76,0.844,230.684,3623.4
817,NOR,Norway,https://flagicons.lipis.dev/flags/4x3/no.svg,1998,9.592,0.808,227.62,1008.69
903,PRT,Portugal,https://flagicons.lipis.dev/flags/4x3/pt.svg,1998,24.15,1.783,297.23,3019.92
967,SWE,Sweden,https://flagicons.lipis.dev/flags/4x3/se.svg,1998,14.286,1.058,269.433,2384.74
4,AUS,Australia,https://flagicons.lipis.dev/flags/4x3/au.svg,1999,14.679,1.075,291.589,5518.61
67,AUT,Austria,https://flagicons.lipis.dev/flags/4x3/at.svg,1999,12.551,1.17,322.318,2576.07
116,CAN,Canada,https://flagicons.lipis.dev/flags/4x3/ca.svg,1999,16.199,1.354,375.645,11456.87
156,CHE,Switzerland,https://flagicons.lipis.dev/flags/4x3/ch.svg,1999,10.623,1.003,339.043,2422.12
195,CZE,Czech Republic,https://flagicons.lipis.dev/flags/4x3/cz.svg,1999,24.149,1.403,214.504,2205.93
252,DEU,Germany,https://flagicons.lipis.dev/flags/4x3/de.svg,1999,13.996,1.367,363.37,29832.77
284,DNK,Denmark,https://flagicons.lipis.dev/flags/4x3/dk.svg,1999,9.051,0.755,201.247,1071.0
310,ESP,Spain,https://flagicons.lipis.dev/flags/4x3/es.svg,1999,22.123,1.532,304.884,12313.31
341,EST,Estonia,https://flagicons.lipis.dev/flags/4x3/ee.svg,1999,19.973,1.139,95.332,132.53
345,FIN,Finland,https://flagicons.lipis.dev/flags/4x3/fi.svg,1999,15.566,1.058,262.083,1353.78
405,FRA,France,https://flagicons.lipis.dev/flags/4x3/fr.svg,1999,16.395,1.576,385.896,23345.44
469,GRC,Greece,https://flagicons.lipis.dev/flags/4x3/gr.svg,1999,15.079,1.171,216.13,2325.93
508,IRL,Ireland,https://flagicons.lipis.dev/flags/4x3/ie.svg,1999,13.97,0.78,210.83,791.62
559,ISL,Iceland,https://flagicons.lipis.dev/flags/4x3/ic.svg,1999,14.402,1.282,376.679,104.48
603,ITA,Italy,https://flagicons.lipis.dev/flags/4x3/it.svg,1999,21.177,1.554,396.645,22575.57
626,JPN,Japan,https://flagicons.lipis.dev/flags/4x3/jp.svg,1999,18.152,1.266,320.554,40592.07
671,KOR,South Korea,https://flagicons.lipis.dev/flags/4x3/kr.svg,1999,22.44,0.885,145.054,6761.94
721,LUX,Luxembourg,https://flagicons.lipis.dev/flags/4x3/lu.svg,1999,11.965,0.661,350.872,151.04
746,MEX,Mexico,https://flagicons.lipis.dev/flags/4x3/mx.svg,1999,18.935,0.931,85.022,8527.76
760,NLD,Netherlands,https://flagicons.lipis.dev/flags/4x3/nl.svg,1999,12.003,0.862,249.383,3943.27
832,NOR,Norway,https://flagicons.lipis.dev/flags/4x3/no.svg,1999,9.601,0.81,247.47,1104.19
940,SVK,Slovakia,https://flagicons.lipis.dev/flags/4x3/sk.svg,1999,34.81,1.928,206.344,1113.44
986,SWE,Sweden,https://flagicons.lipis.dev/flags/4x3/se.svg,1999,14.635,1.085,294.6,2609.53
1016,TUR,Turkey,https://flagicons.lipis.dev/flags/4x3/tr.svg,1999,27.339,1.221,100.371,6251.84
5,AUS,Australia,https://flagicons.lipis.dev/flags/4x3/au.svg,2000,15.702,1.194,338.665,6486.45
68,AUT,Austria,https://flagicons.lipis.dev/flags/4x3/at.svg,2000,12.734,1.174,344.082,2756.64
117,CAN,Canada,https://flagicons.lipis.dev/flags/4x3/ca.svg,2000,16.601,1.374,402.054,12371.08
165,CHE,Switzerland,https://flagicons.lipis.dev/flags/4x3/ch.svg,2000,10.836,1.012,361.001,2593.52
196,CZE,Czech Republic,https://flagicons.lipis.dev/flags/4x3/cz.svg,2000,24.659,1.414,228.095,2339.13
251,DEU,Germany,https://flagicons.lipis.dev/flags/4x3/de.svg,2000,14.082,1.386,381.455,31359.99
276,DNK,Denmark,https://flagicons.lipis.dev/flags/4x3/dk.svg,2000,9.068,0.735,210.487,1123.92
322,ESP,Spain,https://flagicons.lipis.dev/flags/4x3/es.svg,2000,21.958,1.497,322.041,13064.52
340,EST,Estonia,https://flagicons.lipis.dev/flags/4x3/ee.svg,2000,22.79,1.177,110.803,154.79
351,FIN,Finland,https://flagicons.lipis.dev/flags/4x3/fi.svg,2000,15.619,1.068,285.448,1477.54
403,FRA,France,https://flagicons.lipis.dev/flags/4x3/fr.svg,2000,16.899,1.612,423.358,25787.79
468,GRC,Greece,https://flagicons.lipis.dev/flags/4x3/gr.svg,2000,19.871,1.439,280.723,3033.44
533,IRL,Ireland,https://flagicons.lipis.dev/flags/4x3/ie.svg,2000,14.176,0.837,252.441,960.58
558,ISL,Iceland,https://flagicons.lipis.dev/flags/4x3/ic.svg,2000,14.832,1.336,394.133,110.83
602,ITA,Italy,https://flagicons.lipis.dev/flags/4x3/it.svg,2000,21.158,1.604,433.143,24664.08
627,JPN,Japan,https://flagicons.lipis.dev/flags/4x3/jp.svg,2000,18.406,1.316,352.442,44704.8
673,KOR,South Korea,https://flagicons.lipis.dev/flags/4x3/kr.svg,2000,24.454,0.978,176.815,8311.74
719,LUX,Luxembourg,https://flagicons.lipis.dev/flags/4x3/lu.svg,2000,11.036,0.651,375.816,163.97
745,MEX,Mexico,https://flagicons.lipis.dev/flags/4x3/mx.svg,2000,19.936,0.968,96.569,9822.97
761,NLD,Netherlands,https://flagicons.lipis.dev/flags/4x3/nl.svg,2000,12.285,0.867,273.687,4358.61
834,NOR,Norway,https://flagicons.lipis.dev/flags/4x3/no.svg,2000,10.212,0.787,290.719,1305.61
902,PRT,Portugal,https://flagicons.lipis.dev/flags/4x3/pt.svg,2000,21.881,1.832,345.833,3558.59
941,SVK,Slovakia,https://flagicons.lipis.dev/flags/4x3/sk.svg,2000,34.69,1.843,209.134,1126.96
972,SWE,Sweden,https://flagicons.lipis.dev/flags/4x3/se.svg,2000,14.511,1.076,314.697,2792.03
1017,TUR,Turkey,https://flagicons.lipis.dev/flags/4x3/tr.svg,2000,27.806,1.285,118.272,7479.54
1021,USA,United States,https://flagicons.lipis.dev/flags/4x3/um.svg,2000,11.365,1.421,518.109,146190.88
6,AUS,Australia,https://flagicons.lipis.dev/flags/4x3/au.svg,2001,16.059,1.236,364.771,7081.3
57,AUT,Austria,https://flagicons.lipis.dev/flags/4x3/at.svg,2001,12.897,1.198,356.061,2863.55
118,CAN,Canada,https://flagicons.lipis.dev/flags/4x3/ca.svg,2001,16.921,1.465,441.311,13716.78
167,CHE,Switzerland,https://flagicons.lipis.dev/flags/4x3/ch.svg,2001,10.741,1.041,383.731,2774.32
197,CZE,Czech Republic,https://flagicons.lipis.dev/flags/4x3/cz.svg,2001,24.981,1.474,258.786,2643.91
250,DEU,Germany,https://flagicons.lipis.dev/flags/4x3/de.svg,2001,14.692,1.451,418.329,34449.36
291,DNK,Denmark,https://flagicons.lipis.dev/flags/4x3/dk.svg,2001,8.983,0.759,224.017,1200.46
312,ESP,Spain,https://flagicons.lipis.dev/flags/4x3/es.svg,2001,21.949,1.489,341.886,13966.18
339,EST,Estonia,https://flagicons.lipis.dev/flags/4x3/ee.svg,2001,25.52,1.222,126.176,175.15
